"uuid","address","latitude","longitude"
"daJOR-WpmkpwQY22SVT2r","1400 N HIGHLAND AVE","34.096473","-118.338522"
"3XNsWhY9CRWduZnpi69VH","6801 W LEXINGTON AVE","34.092632","-118.339045"
"Ec5tm2f3qsPYWNpl6zPlJ","6800 W SUNSET BLVD","34.097872","-118.340264"
"jBM80v0fNK8z9XoAg-KmW","7001 W SUNSET BLVD","34.09807","-118.342458"
"9YaxoGvyq3W5IdnmV4jpq","7001 W SUNSET BLVD","34.09807","-118.342524"
"A_pyYAJjEm7AjKaUprDyd","1001 N LAS PALMAS AVE","34.089502","-118.336348"
"-H6_xPd_T2h16f9MUmXmb","6500 W SANTA MONICA BLVD","34.090639","-118.332425"
"qycsinUh37nFZPVRuv1p9","6400 W SANTA MONICA BLVD","34.090648","-118.330219"
"TT15D0fJ9BuPLhHAuYa02","6900 W SANTA MONICA BLVD","34.090627","-118.340611"
"Y-Qs27NPPS8Fz0jYFWQZ1","6500 W SANTA MONICA BLVD","34.090641","-118.33148"
"ZfrGWE8migh5sDzGx-hIK","5901 W SUNSET BLVD","34.098146","-118.31889"
"Rx8l6TI29V8oF3JDtX41b","6000 W SUNSET BLVD","34.097933","-118.320976"
"9715J6__BQH1T4ZvLROLF","6000 W SUNSET BLVD","34.097933","-118.320818"
"cxdoy7C_3y8oATL06zu3_","6000 W SUNSET BLVD","34.097933","-118.320668"
"L4yTXgKhWiz2lcEbHHJYU","6201 W SUNSET BLVD","34.098111","-118.324634"
"k_I75znW0jNIwAceUxEmz","6301 W SUNSET BLVD","34.098095","-118.327534"
"ZUElzplDI5ZRrVTPYN-Qq","6301 W SUNSET BLVD","34.098096","-118.328001"
"tS14dxwdl4Unjl51X0ySj","6301 W SUNSET BLVD","34.098096","-118.328176"
"Qi2W9A-9yPFaXczQ4XgWy","1500 N IVAR AVE","34.098593","-118.328661"
"JACmwhUdMJGVwLf3Qd829","1500 N IVAR AVE","34.099059","-118.328473"
"m-diKJ6DzQnFr2WzNa2AY","1500 N IVAR AVE","34.099189","-118.328407"
"c8_Dp9KIg5P7xCti_LwQE","1500 N IVAR AVE","34.099318","-118.328338"
"bjYQA6iMpZuX6tn5Buu2t","1500 N IVAR AVE","34.099442","-118.328272"
"86NAzYqUZkTqUT55u2R9d","1501 N IVAR AVE","34.099406","-118.32847"
"gZ0Fwthf3wXySgAre0RoY","1501 N IVAR AVE","34.099288","-118.328532"
"OpfEXg5uCjlhYzUzi2FJT","1501 N IVAR AVE","34.099113","-118.328624"
"VoHSZrbHW80AcUCbIqRdN","1501 N IVAR AVE","34.098706","-118.328818"
"v_5ztLXWfhuA3r4JS5Lfb","1501 N IVAR AVE","34.098557","-118.328823"
"ZC0Uzz-p0bNiVs0G4vpd_","1501 N IVAR AVE","34.098396","-118.328823"
"BF86VNIgzbEsNxZimoiWi","1500 N CAHUENGA BLVD","34.098732","-118.32942"
"X4CZs_9bY6QslpwGEzKHE","1500 N CAHUENGA BLVD","34.098945","-118.32942"
"DzVwWJD_26zKZWMpFtE5Z","1500 N CAHUENGA BLVD","34.099079","-118.329424"
"syXaQjTe6MNhGSsHgZHgA","1500 N CAHUENGA BLVD","34.099214","-118.329424"
"hzony2kD2vV8TdNDOBTYo","1500 N CAHUENGA BLVD","34.099445","-118.329424"
"jULtAXKHEy2XgaN2qjIUA","1500 N CAHUENGA BLVD","34.099564","-118.329426"
"FfJrtmbd2QzOCypejs6xx","1501 N CAHUENGA BLVD","34.099083","-118.329617"
"4soePQp2d3UQYKgbh8sAq","1400 N COLE PL","34.096995","-118.330209"
"b24JZSu5CPURfZcmL1FwG","6401 W SUNSET BLVD","34.098092","-118.329963"
"iegYbjYf8rgPtsveFfQwZ","1501 N WILCOX AVE","34.098679","-118.331107"
"oLfi3jnEgWM5AJmnUjmgb","1500 N WILCOX AVE","34.098808","-118.330936"
"lTcV1Q7iL575membbWWoz","6601 W SUNSET BLVD","34.098082","-118.335931"
"_bJpa3lMEFueEKZoM8Pmz","6601 W SUNSET BLVD","34.098083","-118.33459"
"TvI4-T7TyVNGhnCMk-tPJ","1201 N HIGHLAND AVE","34.093699","-118.338742"
"xPksonnLRDRqA24aW--nz","1001 N LAS PALMAS AVE","34.089252","-118.336349"
"OmIrc9xueJjncXokFqkPV","6300 W SUNSET BLVD","34.097893","-118.327288"
"52YQ9TFkLvlQZ0fRJWuCH","1500 N SCHRADER BLVD","34.098279","-118.332393"
"87SjRYiFfT318PrRyOR1i","6201 W LA MIRADA AVE","34.093559","-118.326323"
"FLkPQge9CWjU9Tr6_uXHX","1201 N VINE ST","34.094007","-118.326764"
"JgXG58SQ2FCGH58FyyvVD","1201 N VINE ST","34.093877","-118.326762"
"OZwQM8try_96dauLRPcYR","1201 N VINE ST","34.093667","-118.32676"
"YTM3NJ6JH5X6VMQQCuzGt","1301 N VINE ST","34.095091","-118.326769"
"J9KdQcRElPj_2i1-Xmmdd","1301 N VINE ST","34.094961","-118.326767"
"-2kKyLRTB1CYkYuSQplz6","7001 W SUNSET BLVD","34.098069","-118.343484"
"8dGjVbxRRXnWQGjPVR_5k","1000 N LAS PALMAS AVE","34.089807","-118.336207"
"SUCieXFm_BWaJj6ls0PK4","1000 N LAS PALMAS AVE","34.089932","-118.336208"
"DIAnwIsbGkeizP9mcoUcY","1000 N LAS PALMAS AVE","34.09007","-118.336208"
"4MTlHBteC1-E5rBjBR0ec","6601 W SANTA MONICA BLVD","34.09081","-118.335459"
"s0aanAzpTz-JSD1yky8KE","6600 W SANTA MONICA BLVD","34.090636","-118.335009"
"bQulsEIiv6L10ePmDVNPg","6600 W SANTA MONICA BLVD","34.090637","-118.33458"
"ipGt4rF0Y016gq8MmMpUs","6600 W SANTA MONICA BLVD","34.090636","-118.334358"
"V7smXjjx85bsSkFHvDikH","6600 W SANTA MONICA BLVD","34.090636","-118.334206"
"3ifsKr6xRVjv-KCkTt1jM","6600 W SANTA MONICA BLVD","34.090635","-118.335171"
"b2ys5fodEBQImF4RqVbRb","6600 W SANTA MONICA BLVD","34.090636","-118.333848"
"Ndq-LCWe8I8lHMQ4zoveP","6600 W SANTA MONICA BLVD","34.090638","-118.333694"
"IIkA24cbocwKkdCOgeN8H","1001 N LILLIAN WAY","34.090321","-118.327786"
"a44hWmwtjAzxgLPAFid5i","6300 W SANTA MONICA BLVD","34.090656","-118.327505"
